name,voteCount,rating,address,cusine,cost,timing,Location,City,Days_Open
The Cake Tower,Cuisines:,0.0,"37, Diamond Towers Apartments, Diamond Harbor Road, Kidderpore, Kolkata","Cafe, Seafood, Continental",250,10am – 7pm (Mon-Sun),Kidderpore,Kolkata,Mon-Sun
Crazy For Food,Cuisines:,0.0,"29A/H/21, Palm Avenue, Ballygunge, Kolkata","Cafe, Seafood, Continental",300,"9am – 10am, 8pm – 11pm (Mon-Sun)",Ballygunge,Kolkata,Mon-Sun
Petuk Ganesh,13,3.2,"11/1, AG Ground Floor, Sneha Prova, Fern Road, Near Jagadbandhu Institution, Gariahat, Kolkata",Cafe,300,12noon – 12midnight (Mon-Sun),Gariahat,Kolkata,Mon-Sun
Maharaja Lassi Shop,Cuisines:,0.0,"195A, Sarat Bose Road, Desapriya Park, Kolkata",Cafe,300,10am – 10pm (Mon-Sun),Desapriya Park,Kolkata,Mon-Sun
Shimla Biryani,Cuisines:,0.0,"72, Vivekananda Road, Hatibagan, Kolkata","South Indian, North Indian, Chinese, Fast Food, Beverages",150,12noon – 11pm (Mon-Sun),Hatibagan,Kolkata,Mon-Sun
Big Fat Shawarma,77,2.8,"P 656, O Block, New Alipore, Kolkata","South Indian, North Indian, Chinese, Fast Food, Beverages",250,11am – 10:30pm (Mon-Sun),New Alipore,Kolkata,Mon-Sun
Dough Knots,37,3.0,"204/A, Roy Bahadur Road, Ekanna Pally, Behala, Kolkata","Street Food, Mithai",250,8am – 9:30pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Archie's Della Pizza,Cuisines:,0.0,"G 6, C.F.B. Shilpangan, LB-1, Sector 3, Salt Lake, Kolkata","Street Food, Mithai",300,11am – 10pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Chinese Mini Hut,Cuisines:,0.0,"1/1, Poddar Nagar, Beside South City Mall, Prince Anwar Shah Road, Kolkata",Chinese,400,11:30am – 12midnight (Mon-Sun),Prince Anwar Shah Road,Kolkata,Mon-Sun
Rima's Kitchen,Cuisines:,0.0,"3C, Parnasree High 35/2, Sarat Chatterjee Road, Parnasree, Behala, Kolkata",Chinese,300,12:30pm – 7:30pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Wahid's Biryani,Cuisines:,0.0,"Sreebhumi, Dakshindari, Ultadanga, Kolkata",Biryani,300,10am – 11pm (Mon-Sun),Ultadanga,Kolkata,Mon-Sun
The Favourite,Cuisines:,0.0,"2, Pran Krishna Chandra Lane, Beside Bhattikhana Bazar, New Alipore, Kolkata",Biryani,300,"7am – 1pm, 5pm – 3am (Mon-Sun)",New Alipore,Kolkata,Mon-Sun
Gouri Shankar Sudh Marwari Bhojnalay,Cuisines:,0.0,"243, Rabindra Sarani, Near Matri Mangal Hospital, Bara Bazar, Kolkata","Chinese, Fast Food",200,"11am – 9pm (Mon-Sat),12noon – 5pm (Sun)",Bara Bazar,Kolkata,Mon-Sat
Ram Rasoi,11,3.0,"228, Matri Mangal Pratisthan, Rabindra Sarani, Jorasanko, Bara Bazar, Kolkata","Chinese, Fast Food",300,9am – 9pm (Mon-Sun),Bara Bazar,Kolkata,Mon-Sun
Heaven & Dew Inn,17,3.2,"403, Parnasree Pally, Behala, Kolkata","Street Food, South Indian, Beverages",300,11:30am – 11pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Cafe Cabana,Cuisines:,0.0,"4, East Topsia Road, Topsia, Kolkata","Street Food, South Indian, Beverages",250,11am – 11pm (Mon-Sun),Topsia,Kolkata,Mon-Sun
New Haji Biriyani,Cuisines:,0.0,"5/90, Bijoygarh, Near Pallysree More, Jadavpur, Kolkata",Chinese,300,11:30am – 12midnight (Mon-Sun),Jadavpur,Kolkata,Mon-Sun
Rasoi Ghar,5,3.1,Delivery Only,Chinese,400,8am – 10:30pm (Mon-Sun),,Delivery Only,Mon-Sun
Varsha's Desserts,Cuisines:,0.0,"New Alipore, Kolkata","North Indian, Seafood",150,12noon – 6pm (Mon-Sun),New Alipore,Kolkata,Mon-Sun
Mughal Darbar,9,3.2,"101, M.G. Road, College Street, Kolkata","North Indian, Seafood",200,12noon – 11pm (Mon-Sun),College Street,Kolkata,Mon-Sun
Zaika Bar and Restaurant,268,2.5,"43/1/1, Bholanath Nandy Lane, Belepole, Kona Exp Way, Howrah, Kolkata",Street Food,800,11am – 10:30pm (Mon-Sun),Howrah,Kolkata,Mon-Sun
Bake club,Cuisines:,0.0,"216, Santoshpur Avenue, Santoshpur, Kolkata",Street Food,300,10am – 10pm (Mon-Sun),Santoshpur,Kolkata,Mon-Sun
Black Brick,Cuisines:,0.0,"Belgachia Road, Tara Shankar Sarani, Paikpara, Duttabagan, Shyam Bazar, Kolkata",South Indian,200,8am – 12midnight (Mon-Sun),Shyam Bazar,Kolkata,Mon-Sun
Haji Sahi Biryani,Cuisines:,-1.0,"144, Vivekanada Road, Maniktala, Kolkata",South Indian,250,-1,Maniktala,Kolkata,Mon-Sun
Shantanu Fast Food Centre,Cuisines:,-1.0,"180, Roy Bahadur Road, Behala, Kolkata",Chinese,150,-1,Behala,Kolkata,Mon-Sun
Yummy Tummy,Cuisines:,0.0,"9, Peary Mohan Roy Road, Alipore, Kolkata",Chinese,300,11am – 11pm (Mon-Sun),Alipore,Kolkata,Mon-Sun
Pinky's Kitchen,Cuisines:,0.0,"33A, Prince Gulam Hossain Shah Road, 10 Bikramgarh, Jadavpur, Kolkata","Continental, American, Desserts",300,11am – 11pm (Mon-Sun),Jadavpur,Kolkata,Mon-Sun
Biryani In Bowl,Cuisines:,0.0,"74/B/147, 8/106, Jadavpur Central Road, Bejoy Garh, Tollygunge, Kolkata","Continental, American, Desserts",400,11am – 2am (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Foodiezz,Cuisines:,0.0,Delivery Only,"Biryani, North Indian",300,11am – 11pm (Mon-Sun),,Delivery Only,Mon-Sun
Tiffin Tyme,Cuisines:,0.0,"132, Beliaghata Road, Kolkata","Biryani, North Indian",400,10am – 5pm (Mon-Sun),Beliaghata Road,Kolkata,Mon-Sun
Sahana Kitchen,Cuisines:,0.0,"9, Gulam Jilani Khan Road, Topsia, Kolkata",Chinese,250,11am – 11pm (Mon-Sun),Topsia,Kolkata,Mon-Sun
Kolkata Chilli,Cuisines:,0.0,"153, Naskarhat Road, Naskarhat Dakshin Para, Kasba, Kolkata",Chinese,300,11am – 11pm (Mon-Sun),Kasba,Kolkata,Mon-Sun
Salad,Cuisines:,0.0,"287, Canal South Road, Chingrighata, Sector 3, Salt Lake, Kolkata","Fast Food, Beverages",300,11am – 12midnight (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Meet And Eat,Cuisines:,0.0,"148/1, Netaji Subhas Chandra Bose Road, Tollygunge, Kolkata","Fast Food, Beverages",300,12noon – 12midnight (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Manisha Tasty Trails,Cuisines:,0.0,"2/220, Rukmi Paulchaudhur, Sree Colony, Netaji Nagar, Naktala, Kolkata",Fast Food,300,12noon – 10:30pm (Mon-Sun),Naktala,Kolkata,Mon-Sun
Wajib Khansaman,Cuisines:,0.0,"Shop 13, Mahanirban Road, Behind Tridhara Sammilani Club, Gariahat, Kolkata",Fast Food,200,1:30pm – 10:30pm (Mon-Sun),Gariahat,Kolkata,Mon-Sun
Bose Brothers,Cuisines:,0.0,"7, Hindusthan Road, Dover Terrace, Ballygunge, Kolkata","Chinese, Russian, Continental",150,"12noon – 9pm (Mon-Sat),Closed (Sun)",Ballygunge,Kolkata,Mon-Sat
Khaddo Rosshik,Cuisines:,0.0,"54/1, Kayasatha Para Main Road, PO Haltu, Kasba, Kolkata","Chinese, Russian, Continental",400,8am – 8pm (Mon-Sun),Kasba,Kolkata,Mon-Sun
The Kolkata Pantry,Cuisines:,0.0,"G 6 C.F.B, Shilpangan, LB-1, Sector 3, Salt Lake, Kolkata","Sandwich, Fast Food",250,12noon – 10pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
The Relish-Cious,Cuisines:,0.0,"2/195 D, Bijoygarh Main Road, Tollygunge, Kolkata","Sandwich, Fast Food",400,12noon – 11pm (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Rice Nation,Cuisines:,0.0,"62, Ballygunge Gardens, Golpark, Kolkata","Chinese, Fast Food, Beverages",400,"12noon – 12midnight (Mon-Fri),12noon – 1am...",Golpark,Kolkata,Mon-Fri
New Royal Biryani,Cuisines:,0.0,"41A/1B, Karl Marx Sarani, Babu Bazar, Kidderpore, Kolkata","Chinese, Fast Food, Beverages",300,12:30pm – 2am (Mon-Sun),Kidderpore,Kolkata,Mon-Sun
Neiroute Fast Food Center,Cuisines:,0.0,"85, Jadavgara Ruby Park, Kayastha Para, Main Road, Kalikapur, Kolkata",Chinese,350,7:30am – 11pm (Mon-Sun),Kalikapur,Kolkata,Mon-Sun
Ganguly Food Verities,Cuisines:,0.0,"1/26, Azadgarh, Tollygunge, Kolkata",Chinese,300,8am – 4am (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Ice-On-Fire,Cuisines:,0.0,"64/1, Sri Aurobindo Road, Salkia, Howrah","Bengali, North Indian",300,12noon – 10:30pm (Mon-Sun),Salkia,Howrah,Mon-Sun
Santanu Caterer And Cabin,Cuisines:,0.0,"60/16, Haripada, Dutta Lane, Tollygunge, Kolkata","Bengali, North Indian",250,11am – 11pm (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Zippy Plate,Cuisines:,0.0,"36/a/1, Near Tank 12, Sector 3, Salt Lake, Kolkata",Chinese,300,10am – 9pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Kalewa,Cuisines:,0.0,"4/5, Azadgarh, Near MGD Birla Girls School, Tollygunge, Kolkata",Chinese,150,8:30am – 4pm (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Aditya Fast Food,Cuisines:,0.0,"68, Vivekananda Road, Hatibagan, Kolkata","North Indian, Chinese, Italian",150,12noon – 11pm (Mon-Sun),Hatibagan,Kolkata,Mon-Sun
Snackerz Food Funda,Cuisines:,0.0,"86, SN Roy Road, Behala, Kolkata","North Indian, Chinese, Italian",300,12noon – 10pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Humdi Sandwich Corner,4,3.0,"564, Arcadia, Diamond Harbour Road, Behala, Kolkata",Biryani,100,11am – 11pm (Mon-Sun),Behala,Kolkata,Mon-Sun
S.C. Das Sweets,Cuisines:,0.0,"91, Becharam Chatterjee Road, Unique Park, Behala, Kolkata",Biryani,150,7am – 10pm (Mon-Sun),Behala,Kolkata,Mon-Sun
New Chakraborty Brothers,Cuisines:,0.0,"510, Near Behala Tram Depot, Diamond Harbour Road, Behala, Kolkata","Desserts, Ice Cream",200,10am – 10pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Pue Pue,Cuisines:,0.0,"1455, Rajdanga Main Road, Ward 107, Boro-12, Kasba, Kolkata","Desserts, Ice Cream",250,11am – 12midnight (Mon-Sun),Kasba,Kolkata,Mon-Sun
Hunger Station,6,3.1,"32/1A, Ramkrishna Upanibesh, Jadavpur, Kolkata","Chinese, Fast Food, Bengali",300,"24 Hours (Mon-Tue),11am – 11pm (Wed-Sat),11am –...",Jadavpur,Kolkata,Mon-Tue
Shayan Food Restaurant,Cuisines:,0.0,"66, DC Dey Road, Muslim Camp, Science City Area, Kolkata","Chinese, Fast Food, Bengali",200,11am – 11pm (Mon-Sun),Science City Area,Kolkata,Mon-Sun
Little China,Cuisines:,0.0,"34, Satyen Roy Road, Behala, Kolkata","North Indian, Chinese",400,5pm – 10pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Sibaji Fast Food,Cuisines:,0.0,"B17/2, Bapuji Nagar, Jadavpur, Kolkata","North Indian, Chinese",100,5pm – 11pm (Mon-Sun),Jadavpur,Kolkata,Mon-Sun
Padha Likha Dabawala,Cuisines:,0.0,"30, Bidhan Sarani, Vivekananda Road, Maniktala, Kolkata","Fast Food, Mexican, Chinese",200,7am – 10pm (Mon-Sun),Maniktala,Kolkata,Mon-Sun
Chutney Cherry,Cuisines:,0.0,"11/63, Balai Mistry Lean, B Garden, Bali, Shibpur, Howrah","Fast Food, Mexican, Chinese",200,12noon – 9pm (Mon-Sun),Shibpur,Howrah,Mon-Sun
Janakpuri Nasta,Cuisines:,0.0,"16/A, Mahendra Goswami ln, Hedua, Maniktala, Kolkata","Chinese, Fast Food, Rolls",200,8am – 11pm (Mon-Sun),Maniktala,Kolkata,Mon-Sun
Veg Kitchen,Cuisines:,0.0,"72/1, Ram Bagan, Bara Bazar, Kolkata","Chinese, Fast Food, Rolls",300,11am – 11pm (Mon-Sun),Bara Bazar,Kolkata,Mon-Sun
Kolkata Food Plaza,Cuisines:,0.0,"Platform 1, Kolkata Terminal Railway Station, Belgachia, Hatibagan, Kolkata","South Indian, Street Food",400,8am – 4am (Mon-Sun),Hatibagan,Kolkata,Mon-Sun
Lassi Vassi,Cuisines:,-1.0,"200, Rashbehari Avenue, Lake Market Area, Kolkata","South Indian, Street Food",100,-1,Lake Market Area,Kolkata,Mon-Sun
Singhji's Food Hub,6,3.1,"69, Safuipara Baidyapara, Near Kalikapur, Kolkata",Cafe,400,"12noon – 3pm, 5pm – 11pm (Mon-Sun)",Near Kalikapur,Kolkata,Mon-Sun
Food Safari,Cuisines:,0.0,"68, Adhar Chandra Das Lane, Telengabagan, Ultadanga, Kolkata",Cafe,400,9am – 10pm (Mon-Sun),Ultadanga,Kolkata,Mon-Sun
Niladrika Food Corner,Cuisines:,0.0,"1079/A1, Nowbhanga, Sector 4, Salt Lake, Kolkata","North Indian, Street Food",200,4pm – 11pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Bengal Food Factory,Cuisines:,0.0,"36A, Bidhannagar Road,  Kankurgachi, Kolkata","North Indian, Street Food",400,11am – 10pm (Mon-Sun), Kankurgachi,Kolkata,Mon-Sun
K Roy Kitchen,7,2.9,"7, Sonar Gourganga Temple Street, Shobha Bazar, Kolkata",Bengali,200,11am – 11pm (Mon-Sun),Shobha Bazar,Kolkata,Mon-Sun
Foodies Nest,Cuisines:,0.0,"140/A, Sahapur Colony, New Alipore, Kolkata",Bengali,350,10am – 10pm (Mon-Sun),New Alipore,Kolkata,Mon-Sun
Muk Bang,Cuisines:,0.0,"32/5, 33 Diamond Harbour Road, Behala, Kolkata","North Indian, Mughlai, Chinese",200,"9am – 2pm, 5pm – 11pm (Mon-Sun)",Behala,Kolkata,Mon-Sun
Aagomoni,Cuisines:,0.0,"151A, Jodhpur Gardens, Ward 93, Jodhpur Park, Kolkata","North Indian, Mughlai, Chinese",250,"8am – 10pm (Mon-Sat),Closed (Sun)",Jodhpur Park,Kolkata,Mon-Sat
Kolkata Cuisine,4,3.1,"403, Kalikapur Main Road, Kalikapur, Kolkata","Bengali, Biryani, Fast Food",600,11am – 11pm (Mon-Sun),Kalikapur,Kolkata,Mon-Sun
Lokenath Hotel,Cuisines:,0.0,"5F/1, Bankim Mukherjee Sarani, Durgapur Colony, New Alipore, Kolkata","Bengali, Biryani, Fast Food",300,11am – 11pm (Mon-Sun),New Alipore,Kolkata,Mon-Sun
Eureka Snacks,Cuisines:,0.0,"20A, Mohesh Chandra Dutta Lane, Chetla, New Alipore, Kolkata","North Indian, Chinese, Mughlai",400,"11am – 2pm, 5pm – 10:30pm (Mon-Sun)",New Alipore,Kolkata,Mon-Sun
J's Homestyle Kitchen,19,3.3,"327, FD Block, Sector 3, Salt Lake, Kolkata","North Indian, Chinese, Mughlai",300,"7am – 10:30am, 12noon – 10pm (Mon-Sun)",Salt Lake,Kolkata,Mon-Sun
Anyeshas Food Variety,Cuisines:,0.0,"450, Sukanto Pally, Majlish Ara Road, Behala, Kolkata","North Indian, Chinese, Bengali",300,11:30am – 11pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Sharma Kitchen,Cuisines:,0.0,"66/1 C, Belgachia Road, Paikpara, Kolkata","North Indian, Chinese, Bengali",150,11am – 11pm (Mon-Sun),Paikpara,Kolkata,Mon-Sun
R.R. Restaurant,Cuisines:,0.0,"Andul Road, Andul Mauri, Duillya, GT Road, Howrah","Lebanese, Middle Eastern",550,12noon – 12midnight (Mon-Sun),GT Road,Howrah,Mon-Sun
Kathi Junction,Cuisines:,-1.0,"Burabazar Main Road, Chandannagar, Bara Bazar, Kolkata","Lebanese, Middle Eastern",500,-1,Bara Bazar,Kolkata,Mon-Sun
Kwality Wall's,Cuisines:,0.0,"59, Tripura Enclave, Circular Road, Ballygunge, Kolkata",Fast Food,150,11am – 10pm (Mon-Sun),Ballygunge,Kolkata,Mon-Sun
Pick Your Plate,Cuisines:,0.0,"179, Picnic Garden, Kolkata",Fast Food,300,4pm – 12:30am (Mon-Sun),Picnic Garden,Kolkata,Mon-Sun
Madams Kitchen,Cuisines:,0.0,"161, Mahatma Gandhi Road, Central Avenue, Bara Bazar, Kolkata","Chinese, Rolls",300,11am – 12midnight (Mon-Sun),Bara Bazar,Kolkata,Mon-Sun
Sitara Dhaba,Cuisines:,0.0,"134, Dum Dum Road, Bagjola, Ghoshpara, Dum Dum, Kolkata","Chinese, Rolls",450,11am – 11pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Njoy Cafe,Cuisines:,0.0,"59/C/H/30, Shambhu Babu Lane, Kidderpore, Kolkata","Chinese, North Indian",200,11am – 11pm (Mon-Sun),Kidderpore,Kolkata,Mon-Sun
Shayan Food Restaurant,Cuisines:,0.0,"11, Topsia, Kolkata","Chinese, North Indian",200,12noon – 11pm (Mon-Sun),Topsia,Kolkata,Mon-Sun
M Baked,Cuisines:,0.0,"Akshay Kanon, Garden Reach, Kidderpore, Kolkata","Street Food, North Indian, Mishti",200,9am – 9pm (Mon-Sun),Kidderpore,Kolkata,Mon-Sun
The Kitchen,Cuisines:,0.0,"5/9 Purbachal Link Road, Haltu, Kalikapur, Kolkata","Street Food, North Indian, Mishti",300,7am – 11pm (Mon-Sun),Kalikapur,Kolkata,Mon-Sun
Bombay Kulfi,Cuisines:,0.0,"104, Lake Mall, Rash Behari Avenue, Lake Market Area, Kolkata","Chinese, Bengali",250,10am – 10pm (Mon-Sun),Lake Market Area,Kolkata,Mon-Sun
The Kitchen Journey,Cuisines:,0.0,"P-56, Ward 116, Senhati Colony, Behala, Kolkata","Chinese, Bengali",350,8am – 10pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Chatpata,Cuisines:,0.0,"41, Shivtalla Street, Near Kalakar Street Post Office, Bara Bazar, Kolkata","Chinese, North Indian, Rolls, Seafood",150,11am – 9pm (Mon-Sun),Bara Bazar,Kolkata,Mon-Sun
Narayan Mistanna bhandar,Cuisines:,0.0,"84/A, Swinhoe lane, Ballygunge, Kolkata","Chinese, North Indian, Rolls, Seafood",100,7am – 10pm (Mon-Sun),Ballygunge,Kolkata,Mon-Sun
Keshari Snack,Cuisines:,-1.0,"14/21/3, Sanatan Mistri Lane, Salkia, Howrah","North Indian, Chinese, Rolls",100,-1,Salkia,Howrah,Mon-Sun
Royal Biryani,Cuisines:,0.0,"79, Charu Chandra Sinha Lane, Shibpur, Howrah","North Indian, Chinese, Rolls",200,12noon – 12midnight (Mon-Sun),Shibpur,Howrah,Mon-Sun
Friend Caterer,Cuisines:,0.0,"12/2, Opposite Shani Mandir, CN Rao Road, Picnic Garden, Kolkata","Bakery, Desserts",200,10am – 10:30pm (Mon-Sun),Picnic Garden,Kolkata,Mon-Sun
Bowl Na!,Cuisines:,0.0,"OYO Flagship 19330, Hotel Arla, Terrace, 161, Mahatma Gandhi Road, Thakur Pukur, Kolkata","Bakery, Desserts",200,12noon – 11pm (Mon-Sun),Thakur Pukur,Kolkata,Mon-Sun
Yammy Restaurant & Caterer,Cuisines:,0.0,"54, Topsia, Kolkata",Mishti,200,11am – 11pm (Mon-Sun),Topsia,Kolkata,Mon-Sun
Street Food Ka Super Hero,Cuisines:,0.0,"95, Ground Floor, Rash Behari Avenue, Priya Cinema, Deshapriya Park, Kolkata",Mishti,200,10am – 10pm (Mon-Sun),Deshapriya Park,Kolkata,Mon-Sun
10 Santa Street,Cuisines:,0.0,"78/2, Kolkata Municipal Corporation, Beliaghata, Kolkata","Chinese, Mughlai",400,12noon – 11pm (Mon-Sun),Beliaghata,Kolkata,Mon-Sun
Rasoi Moon,Cuisines:,0.0,"39, Belilious Road, Howrah Maidan Area, Near Howrah Station Area, Howrah","Chinese, Mughlai",200,12noon – 10:30pm (Mon-Sun),Near Howrah Station Area,Howrah,Mon-Sun
Sangam Dhaba With Special Biryani,Cuisines:,0.0,"2 Tiljala Road, Picnic Garden, Kolkata","South Indian, Continental, Fast Food, North Indian, Chinese",550,1pm – 4am (Mon-Sun),Picnic Garden,Kolkata,Mon-Sun
Teresa's Kitchen,Cuisines:,0.0,"30, C.N Roy Road, Picnic Garden, Kolkata","South Indian, Continental, Fast Food, North Indian, Chinese",300,11am – 11pm (Mon-Sun),Picnic Garden,Kolkata,Mon-Sun
Mohamaia Restaurant,Cuisines:,0.0,"Uluberia, Kona Exp Way, Howrah, Kolkata","Fast Food, Italian, Mexican",400,11am – 10pm (Mon-Sun),Howrah,Kolkata,Mon-Sun
The Real Flavours,Cuisines:,-1.0,"2nd Floor, 7 Hat Lane, Mallick Fatak, Near Jail Gate, Howrah Maidan Area, Howrah","Fast Food, Italian, Mexican",250,-1,Howrah Maidan Area,Howrah,Mon-Sun
Friends Food Corner,Cuisines:,0.0,"12/2, C N Roy Road, Tiljala, Dilip Mart, Picnic Garden, Kolkata","Tibetan, Momos, Fast Food",150,11am – 11pm (Mon-Sun),Picnic Garden,Kolkata,Mon-Sun
Durbar,Cuisines:,0.0,"BA- 196, Sector 1, Salt Lake, Kolkata","Tibetan, Momos, Fast Food",400,11am – 11pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Bumbai Wala,68,3.6,"58, Rajdanga Chakraborty Para, Kasba, Kolkata",Mishti,250,10am – 2am (Mon-Sun),Kasba,Kolkata,Mon-Sun
Chilli  Cottage,5,3.0,"10/1, Beliaghata Main Road Beliaghata, Kolkata",Mishti,300,1pm – 10:30pm (Mon-Sun),Beliaghata Main Road Beliaghata,Kolkata,Mon-Sun
Maggie Huts,23,3.1,"98/2, SA Road, Near Sadhna Post Office, Lake Town, Kolkata","Bakery, Desserts",200,11am – 11pm (Mon-Sun),Lake Town,Kolkata,Mon-Sun
Royal Jade Chinese Restaurant,467,3.7,"1282, Rajdanga Main Road, Shantipally Area, Kasba, Kolkata","Bakery, Desserts",550,"12noon – 4pm, 6pm – 10:30pm (Mon-Sun)",Kasba,Kolkata,Mon-Sun
Taj Restaurant And Caterer,67,2.7,"147, Keshab Chandra Sen Street, Near United Bank Of India, Sealdah Area, Kolkata",North Indian,350,7am – 11pm (Mon-Sun),Sealdah Area,Kolkata,Mon-Sun
Calcutta  4,33,3.2,"76 A, Bhupendra Bose Ave, Shyam Bazar, Kolkata",North Indian,200,10am – 11pm (Mon-Sun),Shyam Bazar,Kolkata,Mon-Sun
Maharaja Dhaba,12,3.4,"52, Prince Golam, Mohammad Shah Road, Jodhpur Park, Kolkata",North Indian,200,11am – 11pm (Mon-Sun),Jodhpur Park,Kolkata,Mon-Sun
Agarwals Food Delivery,39,3.3,"48/4, Sultan Alam Road, Lake Gardens, Kolkata",North Indian,400,"12noon – 3pm, 7pm – 10pm (Mon-Sun)",Lake Gardens,Kolkata,Mon-Sun
Anshuprio Foodie Club,132,3.6,"25, Kona Expy, Baruipara, Baksara, Kona Exp Way, Howrah",North Indian,250,12:30pm – 11pm (Mon-Sun),Kona Exp Way,Howrah,Mon-Sun
C.Hot Pot,22,3.4,"1/1D, Nayaratna Lane, Near Dream Land Nursing Home, Shyam Bazar, Hatibagan, Kolkata",North Indian,150,11am – 11pm (Mon-Sun),Hatibagan,Kolkata,Mon-Sun
New Splash,10,3.3,"61, Jatindra Mohan Avenue, Ward 09, Shobha Bazar, Kolkata","North Indian, Chinese, Continental, Mughlai, Beverages",150,9am – 10pm (Mon-Sun),Shobha Bazar,Kolkata,Mon-Sun
Abar Khabo,Cuisines:,0.0,"3, Dr. Kartick Bose Street, Sealdah Area, Kolkata","North Indian, Chinese, Continental, Mughlai, Beverages",200,12noon – 9pm (Mon-Sun),Sealdah Area,Kolkata,Mon-Sun
Nisha's Bakery,26,3.3,"654, Rabindra Sarani, Baghbazar, Shyam Bazar, Kolkata","North Indian, Chinese",200,10am – 8pm (Mon-Sun),Shyam Bazar,Kolkata,Mon-Sun
Mughal Arsalan Biryani,75,3.4,"112B, MG Road, Bara Bazar, Kolkata","North Indian, Chinese",300,11am – 11pm (Mon-Sun),Bara Bazar,Kolkata,Mon-Sun
Food Junction,358,3.2,"27, Gopal Chand Mukherjee Lane, Near Howrah Siksha Sadan, Howrah Station Area, Howrah",Beverages,400,8:30am – 11pm (Mon-Sun),Howrah Station Area,Howrah,Mon-Sun
Fresh & Fast,9,3.0,"129A, Santoshpur Avenue, Adipally Santoshpur, Rani Rashmoni Bagan, Santoshpur, Kolkata",Beverages,200,8am – 9pm (Mon-Sun),Santoshpur,Kolkata,Mon-Sun
Shib Namkin & Sweets,24,3.4,"1D, Natore Park, 5Th Road, Picnic Garden, Kolkata",Chinese,100,8am – 9pm (Mon-Sun),Picnic Garden,Kolkata,Mon-Sun
Modern Food Center,7,3.2,"1/47, Arabinda Nagar, Tollygunge, Kolkata",Chinese,250,12noon – 1am (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Cafe Long Drive,Cuisines:,-1.0,"CD 37, CD Block, Sector 1, Bidhannagar, Sector 1, Salt Lake, Kolkata",Fast Food,600,-1,Salt Lake,Kolkata,Mon-Sun
Fry Pan,Cuisines:,0.0,"Shop 129, BD Market, Sector 1, Salt Lake, Kolkata",Fast Food,400,12noon – 11pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Amantran Restaurant,Cuisines:,0.0,"DD 36, Sector 1, Salt Lake",Biryani,200,11am – 10pm (Mon-Sun),Sector 1,Salt Lake,Mon-Sun
Cafe Kolkata,Cuisines:,0.0,"449, Purbalok, Near Metro Cash & Carry, Kalikapur, Kolkata",Biryani,150,1pm – 10pm (Mon-Sun),Kalikapur,Kolkata,Mon-Sun
Ringmo Restaurant,Cuisines:,0.0,"2, Nandaram Sen Street, Shobha Bazar, Kolkata",Mishti,350,4pm – 10pm (Mon-Sun),Shobha Bazar,Kolkata,Mon-Sun
Gharana- The Veg House,Cuisines:,0.0,"37, Circular Road, Tollygunge, Kolkata",Mishti,250,8am – 1am (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Bengal Biryani,Cuisines:,0.0,"40F, Nimtala Ghat Street, Kolkata Municipal Corporation, Southern Avenue, Kolkata",Mishti,400,8am – 11:30pm (Mon-Sun),Southern Avenue,Kolkata,Mon-Sun
Dosa.com,Cuisines:,0.0,"23/26, Jyotish Roy Road, New Alipore, Kolkata",Mishti,300,11am – 9pm (Mon-Sun),New Alipore,Kolkata,Mon-Sun
Bahar Alishan Biryani,4,2.9,"Uluberia Station Road, South Uluberia, Kona Exp Way, Howrah, Kolkata","Desserts, Beverages",200,12noon – 11:30pm (Mon-Sun),Howrah,Kolkata,Mon-Sun
Kanteenwala,64,3.9,"956, 1st Floor, Kalikapur Road, Kalikapur, Kolkata","Desserts, Beverages",500,12:30pm – 12midnight (Mon-Sun),Kalikapur,Kolkata,Mon-Sun
Nawab Snacks Bar,103,3.7,"167N, Rash Behari Avenue, Hazra, Kalighat, Gariahat, Kolkata",Mishti,200,10am – 9pm (Mon-Sun),Gariahat,Kolkata,Mon-Sun
Brick Bakers,Cuisines:,0.0,"2nd Floor, CD 142, Sector 1, Salt Lake",Mishti,350,10am – 8pm (Mon-Sun),Sector 1,Salt Lake,Mon-Sun
