name,voteCount,rating,address,cusine,cost,timing,Location,City,Days_Open
Mastan Restaurant,Cuisines:,0.0,"19, HP-6/37-38, Nelle Sen Guptasarani, SS Hogg Market, New Market Area, Kolkata",Mishti,250,12noon – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Shakes And Snacks,Cuisines:,0.0,"21/A, Nasiruddin Road, Ward 64, Park Circus Area, Kolkata","Chinese, Thai, Asian",150,11am – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Kolkata Food House,Cuisines:,0.0,Delivery Only,"Chinese, Thai, Asian",200,11am – 11pm (Mon-Sun),,Delivery Only,Mon-Sun
Yo's Noodle,85,3.4,"47/2 A, Acharya Jagadish Chandra Bose Road, Park Circus Area, Kolkata",Desserts,400,"12noon – 10:45pm (Mon, Tue, Wed, Thu, Sat, Sun)...",Park Circus Area,Kolkata,"Mon, Tue, Wed, Thu, Sat, Sun"
Mr. Veggie,38,3.3,"11, Ho Chi Minh Sarani, Theatre Road, Kolkata",Desserts,350,8am – 8pm (Mon-Sun),Theatre Road,Kolkata,Mon-Sun
The Plated Biryani,5,3.1,"94, Muzaffar Ahmed Street, Taltala, Kolkata",Fast Food,200,1pm – 12midnight (Mon-Sun),Taltala,Kolkata,Mon-Sun
Bombay Rolls,9,3.1,"9, Rafi Ahmed, Kidwai Road, Kolkata, Wellesley, Kolkata",Fast Food,400,7am – 11pm (Mon-Sun),Wellesley,Kolkata,Mon-Sun
The Indi Grill,13,3.7,"55A, Mirza Gallib Street, New Market Area, Kolkata","Burger, Desserts, Italian, Chinese, Salad",800,11:30am – 11:30pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
American Waffle House,151,4.0,"11 A, Beni Nandan Street, Elgin, Kolkata","Burger, Desserts, Italian, Chinese, Salad",300,10am – 4am (Mon-Sun),Elgin,Kolkata,Mon-Sun
Sajid Biryani & Roll,5,3.0,"42B, Syed Ahmed Road, Entally, Kolkata",Street Food,200,12noon – 12midnight (Mon-Sun),Entally,Kolkata,Mon-Sun
Gouri Sweets,5,3.0,"51/1, S.N. Benerjee Road, Taltala, Kolkata",Street Food,400,7am – 10pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
K3i Bistro & Lounge,8,2.9,"14, Congress Exhibition Road, Park Circus Area, Kolkata","North Indian, Biryani",600,10am – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Nawab's,121,4.0,"80 B, Shakespeare Sarani, Theater Road, Near Seven Point Crossing, Park Circus Area, Kolkata","North Indian, Biryani",650,12noon – 10:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Sultan Biryani & Fast Food Centre,18,3.2,"Shop 48, Market Area, New Market Area, Kolkata",South Indian,250,12noon – 12midnight (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Snacks Emporium,26,3.4,"2, Colonel Biswas Road, Park Circus Area, Kolkata",South Indian,250,11:30am – 10:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Aahar Restaurant,5,3.0,"9/1, Waterloo Street, Esplanade, Kolkata","Fast Food, Sandwich, Burger, Beverages",200,10am – 10pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
